binning_data,update_time,create_time,source_pkg_name,source_type,count,avgcount,doubavg,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
62f7a4b6-26f0-4c58-8350-ea238cc86ab8.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1520,1190.333333,1067.333333,1.3503416,1183.47,93.07999,rvAAWy9XGW,com.sec.android.app.shealth,62f7a4b6-26f0-4c58-8350-ea238cc86ab8,1.64108E+12
ebd79e7d-cca9-4ea2-9c46-d52d6483d195.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1543,1125,1035.888889,1.3529997,1202.71,95.169975,rvAAWy9XGW,com.sec.android.app.shealth,ebd79e7d-cca9-4ea2-9c46-d52d6483d195,1.6429E+12
1955ca08-1704-4b6c-8589-c242a5e4d983.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,312,792.3333333,766.1111111,1.4587612,250.97,18.97,rvAAWy9XGW,com.sec.android.app.shealth,1955ca08-1704-4b6c-8589-c242a5e4d983,1.64376E+12
88eaad26-b9e9-4378-a320-838499d5634f.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,522,381,559.4444444,1.4528939,414.27,31.6,rvAAWy9XGW,com.sec.android.app.shealth,88eaad26-b9e9-4378-a320-838499d5634f,1.64436E+12
a9b04bc2-00f6-4f42-a10d-375ea3f97d3e.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,309,505,452,1.4890708,241.57,17.960001,rvAAWy9XGW,com.sec.android.app.shealth,a9b04bc2-00f6-4f42-a10d-375ea3f97d3e,1.64359E+12
76189b4c-5172-4cd3-bc52-6f42493a4c3e.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,684,470,835.4444444,1.5799687,558.1,44,rvAAWy9XGW,com.sec.android.app.shealth,76189b4c-5172-4cd3-bc52-6f42493a4c3e,1.6416E+12
cca57073-5209-4b20-8da3-0b20d603b661.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,417,1531.333333,1238.777778,1.5135708,341.56,26.41,rvAAWy9XGW,com.sec.android.app.shealth,cca57073-5209-4b20-8da3-0b20d603b661,1.64428E+12
5607be1e-92f9-4602-858a-bdecafd7c9ee.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,3493,1715,1672.333333,1.5247008,2789.86,214.86,rvAAWy9XGW,com.sec.android.app.shealth,5607be1e-92f9-4602-858a-bdecafd7c9ee,1.64341E+12
8d552d18-ec33-4b40-a81a-d85db6f2f972.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1235,1770.666667,1551,1.4495503,1005.21,81.38,rvAAWy9XGW,com.sec.android.app.shealth,8d552d18-ec33-4b40-a81a-d85db6f2f972,1.64298E+12
df8d121a-a57b-4c0b-9f9f-55b1c36a5657.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,584,1167.333333,1274.888889,1.4506794,462.09,35.079994,rvAAWy9XGW,com.sec.android.app.shealth,df8d121a-a57b-4c0b-9f9f-55b1c36a5657,1.64488E+12
030e06ab-6be1-4e9e-9dbc-f68c0708a945.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1683,886.6666667,937.2222222,1.4830718,1320.14,99.119995,rvAAWy9XGW,com.sec.android.app.shealth,030e06ab-6be1-4e9e-9dbc-f68c0708a945,1.6448E+12
a858f073-63ba-4be2-a1b0-c0201ede18fa.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,393,757.6666667,672.1111111,1.3995864,304.75,23.6,rvAAWy9XGW,com.sec.android.app.shealth,a858f073-63ba-4be2-a1b0-c0201ede18fa,1.64212E+12
ba63d03b-ed32-4fef-9094-f2d3c336872d.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,197,372,479.3333333,1.5276009,157.58,11.82,rvAAWy9XGW,com.sec.android.app.shealth,ba63d03b-ed32-4fef-9094-f2d3c336872d,1.64393E+12
7ef5dc32-2687-4b5f-a2f5-0925a2cb8613.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,526,308.3333333,360.4444444,1.4259973,411.02,31.619999,rvAAWy9XGW,com.sec.android.app.shealth,7ef5dc32-2687-4b5f-a2f5-0925a2cb8613,1.6435E+12
dec969c5-bfcb-4049-8b48-bdc0f453b389.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,202,401,384.7777778,1.2960228,155.9,11.92,rvAAWy9XGW,com.sec.android.app.shealth,dec969c5-bfcb-4049-8b48-bdc0f453b389,1.64411E+12
0cee8567-1d72-4438-8952-30e74d01a787.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,475,445,483.5555556,1.3569385,367.88998,27.97,rvAAWy9XGW,com.sec.android.app.shealth,0cee8567-1d72-4438-8952-30e74d01a787,1.6454E+12
4394f937-66ba-4b2a-8e03-d6db9549bc56.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,658,604.6666667,533,1.4307494,530.44,41.6,rvAAWy9XGW,com.sec.android.app.shealth,4394f937-66ba-4b2a-8e03-d6db9549bc56,1.64532E+12
31f47ede-1f57-4c13-9dc5-5f6d941f7f9c.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,681,549.3333333,592.8888889,1.5471543,560,44.51,rvAAWy9XGW,com.sec.android.app.shealth,31f47ede-1f57-4c13-9dc5-5f6d941f7f9c,1.64264E+12
e32fe56d-f4a4-41e5-acd9-52611945e940.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,309,624.6666667,566.5555556,1.2680558,237.81,18.31,rvAAWy9XGW,com.sec.android.app.shealth,e32fe56d-f4a4-41e5-acd9-52611945e940,1.64402E+12
534d878d-cdfb-4a4e-87dc-64314d842508.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,884,525.6666667,568.2222222,1.3323313,689.55,52.719994,rvAAWy9XGW,com.sec.android.app.shealth,534d878d-cdfb-4a4e-87dc-64314d842508,1.64445E+12
bfa56c17-11af-4b3b-b7d6-1bd0c057e061.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,384,554.3333333,503.2222222,1.3905584,303.63,22.919998,rvAAWy9XGW,com.sec.android.app.shealth,bfa56c17-11af-4b3b-b7d6-1bd0c057e061,1.64462E+12
6719d2f4-c463-4061-8767-9b7250b9a45b.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,395,429.6666667,457.2222222,1.350662,307.74,23.759996,rvAAWy9XGW,com.sec.android.app.shealth,6719d2f4-c463-4061-8767-9b7250b9a45b,1.64583E+12
43df4b72-3db7-4b84-8bfc-38a13674974b.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,510,387.6666667,479.8888889,1.4211763,400.22,30.44,rvAAWy9XGW,com.sec.android.app.shealth,43df4b72-3db7-4b84-8bfc-38a13674974b,1.64592E+12
dfdf5c87-af08-46b0-ac35-8bb036e4f7fc.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,258,622.3333333,578.3333333,1.4479195,207.66,17.27,rvAAWy9XGW,com.sec.android.app.shealth,dfdf5c87-af08-46b0-ac35-8bb036e4f7fc,1.64316E+12
7c9beaff-d5c9-4bc0-9346-0c43ad47a86f.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1099,725,723.4444444,1.4858173,875.48,67.04,rvAAWy9XGW,com.sec.android.app.shealth,7c9beaff-d5c9-4bc0-9346-0c43ad47a86f,1.64514E+12
25f28951-093e-405b-a57d-aa3991e08381.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,818,823,710.4444444,1.1678842,613.81995,48.66999,rvAAWy9XGW,com.sec.android.app.shealth,25f28951-093e-405b-a57d-aa3991e08381,1.64635E+12
8e7c1540-c934-42fd-8ad3-3486264aa501.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,552,583.3333333,644.2222222,1.2341332,421.63,32.729996,rvAAWy9XGW,com.sec.android.app.shealth,8e7c1540-c934-42fd-8ad3-3486264aa501,1.64644E+12
